Freq.	V(Vo)/V(Vi)
1.37088176616484e+002	(-2.08478461353763e+001dB,-9.00006263977360e+001°)
1.37404197501251e+002	(-2.08278460963546e+001dB,-9.00006278417319e+001°)
1.37720946889394e+002	(-2.08078460571528e+001dB,-9.00006292890567e+001°)
1.38038426460288e+002	(-2.07878460177700e+001dB,-9.00006307397178e+001°)
1.38356637897177e+002	(-2.07678459782054e+001dB,-9.00006321937231e+001°)
1.38675582887188e+002	(-2.07478459384582e+001dB,-9.00006336510802e+001°)
1.38995263121334e+002	(-2.07278458985276e+001dB,-9.00006351117969e+001°)
1.39315680294529e+002	(-2.07078458584126e+001dB,-9.00006365758809e+001°)
1.39636836105593e+002	(-2.06878458181124e+001dB,-9.00006380433399e+001°)
1.39958732257261e+002	(-2.06678457776263e+001dB,-9.00006395141818e+001°)
1.40281370456195e+002	(-2.06478457369533e+001dB,-9.00006409884143e+001°)
1.40604752412990e+002	(-2.06278456960925e+001dB,-9.00006424660453e+001°)
1.40928879842186e+002	(-2.06078456550431e+001dB,-9.00006439470825e+001°)
1.41253754462274e+002	(-2.05878456138043e+001dB,-9.00006454315340e+001°)
1.41579377995707e+002	(-2.05678455723751e+001dB,-9.00006469194074e+001°)
1.41905752168908e+002	(-2.05478455307547e+001dB,-9.00006484107107e+001°)
1.42232878712281e+002	(-2.05278454889421e+001dB,-9.00006499054518e+001°)
1.42560759360218e+002	(-2.05078454469366e+001dB,-9.00006514036387e+001°)
1.42889395851109e+002	(-2.04878454047372e+001dB,-9.00006529052793e+001°)
1.43218789927353e+002	(-2.04678453623430e+001dB,-9.00006544103815e+001°)
1.43548943335365e+002	(-2.04478453197531e+001dB,-9.00006559189533e+001°)
1.43879857825583e+002	(-2.04278452769666e+001dB,-9.00006574310027e+001°)
1.44211535152486e+002	(-2.04078452339826e+001dB,-9.00006589465378e+001°)
1.44543977074592e+002	(-2.03878451908003e+001dB,-9.00006604655665e+001°)
1.44877185354475e+002	(-2.03678451474186e+001dB,-9.00006619880969e+001°)
1.45211161758773e+002	(-2.03478451038366e+001dB,-9.00006635141372e+001°)
1.45545908058195e+002	(-2.03278450600535e+001dB,-9.00006650436953e+001°)
1.45881426027534e+002	(-2.03078450160683e+001dB,-9.00006665767794e+001°)
1.46217717445671e+002	(-2.02878449718801e+001dB,-9.00006681133977e+001°)
1.46554784095590e+002	(-2.02678449274879e+001dB,-9.00006696535582e+001°)
1.46892627764385e+002	(-2.02478448828908e+001dB,-9.00006711972692e+001°)
1.47231250243271e+002	(-2.02278448380879e+001dB,-9.00006727445388e+001°)
