Freq.	V(out)
1.12979591467279e-003	(1.99996973495064e+001dB,1.79999571682986e+002°)
1.13240036323555e-003	(1.99996973495053e+001dB,1.79999570695613e+002°)
1.13501081567231e-003	(1.99996973495042e+001dB,1.79999569705964e+002°)
1.13762728582343e-003	(1.99996973495030e+001dB,1.79999568714034e+002°)
1.14024978756117e-003	(1.99996973495019e+001dB,1.79999567719817e+002°)
1.14287833478977e-003	(1.99996973495008e+001dB,1.79999566723308e+002°)
1.14551294144553e-003	(1.99996973494996e+001dB,1.79999565724502e+002°)
1.14815362149688e-003	(1.99996973494985e+001dB,1.79999564723394e+002°)
1.15080038894443e-003	(1.99996973494973e+001dB,1.79999563719978e+002°)
1.15345325782109e-003	(1.99996973494961e+001dB,1.79999562714248e+002°)
1.15611224219209e-003	(1.99996973494950e+001dB,1.79999561706201e+002°)
1.15877735615512e-003	(1.99996973494938e+001dB,1.79999560695829e+002°)
1.16144861384034e-003	(1.99996973494926e+001dB,1.79999559683128e+002°)
1.16412602941049e-003	(1.99996973494914e+001dB,1.79999558668093e+002°)
1.16680961706096e-003	(1.99996973494903e+001dB,1.79999557650718e+002°)
1.16949939101987e-003	(1.99996973494891e+001dB,1.79999556630998e+002°)
1.17219536554813e-003	(1.99996973494879e+001dB,1.79999555608927e+002°)
1.17489755493952e-003	(1.99996973494867e+001dB,1.79999554584499e+002°)
1.17760597352080e-003	(1.99996973494854e+001dB,1.79999553557711e+002°)
1.18032063565172e-003	(1.99996973494842e+001dB,1.79999552528555e+002°)
1.18304155572516e-003	(1.99996973494830e+001dB,1.79999551497027e+002°)
1.18576874816716e-003	(1.99996973494818e+001dB,1.79999550463120e+002°)
1.18850222743701e-003	(1.99996973494805e+001dB,1.79999549426831e+002°)
1.19124200802737e-003	(1.99996973494793e+001dB,1.79999548388152e+002°)
1.19398810446427e-003	(1.99996973494781e+001dB,1.79999547347080e+002°)
1.19674053130724e-003	(1.99996973494768e+001dB,1.79999546303607e+002°)
1.19949930314937e-003	(1.99996973494755e+001dB,1.79999545257729e+002°)
1.20226443461741e-003	(1.99996973494743e+001dB,1.79999544209439e+002°)
1.20503594037179e-003	(1.99996973494730e+001dB,1.79999543158734e+002°)
1.20781383510677e-003	(1.99996973494717e+001dB,1.79999542105606e+002°)
1.21059813355048e-003	(1.99996973494705e+001dB,1.79999541050050e+002°)
1.21338885046497e-003	(1.99996973494692e+001dB,1.79999539992061e+002°)
1.21618600064636e-003	(1.99996973494679e+001dB,1.79999538931634e+002°)
1.21898959892486e-003	(1.99996973494666e+001dB,1.79999537868761e+002°)
1.22179966016487e-003	(1.99996973494653e+001dB,1.79999536803439e+002°)
1.22461619926504e-003	(1.99996973494640e+001dB,1.79999535735660e+002°)
1.22743923115840e-003	(1.99996973494627e+001dB,1.79999534665420e+002°)
1.23026877081238e-003	(1.99996973494613e+001dB,1.79999533592713e+002°)
1.23310483322890e-003	(1.99996973494600e+001dB,1.79999532517534e+002°)
1.23594743344450e-003	(1.99996973494587e+001dB,1.79999531439875e+002°)
1.23879658653036e-003	(1.99996973494573e+001dB,1.79999530359733e+002°)
1.24165230759240e-003	(1.99996973494560e+001dB,1.79999529277100e+002°)
1.24451461177138e-003	(1.99996973494546e+001dB,1.79999528191972e+002°)
1.24738351424294e-003	(1.99996973494533e+001dB,1.79999527104342e+002°)
1.25025903021771e-003	(1.99996973494519e+001dB,1.79999526014205e+002°)
1.25314117494141e-003	(1.99996973494505e+001dB,1.79999524921555e+002°)
1.25602996369487e-003	(1.99996973494492e+001dB,1.79999523826386e+002°)
1.25892541179416e-003	(1.99996973494478e+001dB,1.79999522728692e+002°)
1.26182753459066e-003	(1.99996973494464e+001dB,1.79999521628468e+002°)
1.26473634747114e-003	(1.99996973494450e+001dB,1.79999520525708e+002°)
1.26765186585784e-003	(1.99996973494436e+001dB,1.79999519420405e+002°)
1.27057410520853e-003	(1.99996973494422e+001dB,1.79999518312555e+002°)
1.27350308101665e-003	(1.99996973494407e+001dB,1.79999517202151e+002°)
1.27643880881134e-003	(1.99996973494393e+001dB,1.79999516089187e+002°)
1.27938130415752e-003	(1.99996973494379e+001dB,1.79999514973657e+002°)
1.28233058265601e-003	(1.99996973494365e+001dB,1.79999513855556e+002°)
1.28528665994361e-003	(1.99996973494350e+001dB,1.79999512734877e+002°)
1.28824955169313e-003	(1.99996973494336e+001dB,1.79999511611615e+002°)
1.29121927361353e-003	(1.99996973494321e+001dB,1.79999510485764e+002°)
1.29419584144998e-003	(1.99996973494306e+001dB,1.79999509357317e+002°)
1.29717927098395e-003	(1.99996973494292e+001dB,1.79999508226269e+002°)
1.30016957803328e-003	(1.99996973494277e+001dB,1.79999507092613e+002°)
1.30316677845229e-003	(1.99996973494262e+001dB,1.79999505956344e+002°)
1.30617088813183e-003	(1.99996973494247e+001dB,1.79999504817456e+002°)
1.30918192299940e-003	(1.99996973494232e+001dB,1.79999503675942e+002°)
1.31219989901919e-003	(1.99996973494217e+001dB,1.79999502531797e+002°)
1.31522483219223e-003	(1.99996973494202e+001dB,1.79999501385015e+002°)
1.31825673855640e-003	(1.99996973494187e+001dB,1.79999500235588e+002°)
1.32129563418657e-003	(1.99996973494172e+001dB,1.79999499083512e+002°)
1.32434153519466e-003	(1.99996973494156e+001dB,1.79999497928781e+002°)
1.32739445772973e-003	(1.99996973494141e+001dB,1.79999496771387e+002°)
1.33045441797808e-003	(1.99996973494126e+001dB,1.79999495611325e+002°)
1.33352143216331e-003	(1.99996973494110e+001dB,1.79999494448589e+002°)
1.33659551654643e-003	(1.99996973494094e+001dB,1.79999493283173e+002°)
1.33967668742593e-003	(1.99996973494079e+001dB,1.79999492115070e+002°)
1.34276496113785e-003	(1.99996973494063e+001dB,1.79999490944274e+002°)
1.34586035405594e-003	(1.99996973494047e+001dB,1.79999489770780e+002°)
1.34896288259164e-003	(1.99996973494031e+001dB,1.79999488594580e+002°)
1.35207256319427e-003	(1.99996973494015e+001dB,1.79999487415669e+002°)
1.35518941235103e-003	(1.99996973493999e+001dB,1.79999486234040e+002°)
1.35831344658714e-003	(1.99996973493983e+001dB,1.79999485049687e+002°)
1.36144468246594e-003	(1.99996973493967e+001dB,1.79999483862604e+002°)
1.36458313658891e-003	(1.99996973493951e+001dB,1.79999482672784e+002°)
1.36772882559584e-003	(1.99996973493934e+001dB,1.79999481480222e+002°)
1.37088176616484e-003	(1.99996973493918e+001dB,1.79999480284910e+002°)
1.37404197501250e-003	(1.99996973493901e+001dB,1.79999479086843e+002°)
1.37720946889394e-003	(1.99996973493885e+001dB,1.79999477886014e+002°)
1.38038426460287e-003	(1.99996973493868e+001dB,1.79999476682417e+002°)
1.38356637897177e-003	(1.99996973493851e+001dB,1.79999475476046e+002°)
1.38675582887188e-003	(1.99996973493835e+001dB,1.79999474266893e+002°)
1.38995263121334e-003	(1.99996973493818e+001dB,1.79999473054953e+002°)
1.39315680294529e-003	(1.99996973493801e+001dB,1.79999471840219e+002°)
1.39636836105593e-003	(1.99996973493784e+001dB,1.79999470622685e+002°)
1.39958732257261e-003	(1.99996973493767e+001dB,1.79999469402345e+002°)
1.40281370456195e-003	(1.99996973493749e+001dB,1.79999468179191e+002°)
1.40604752412990e-003	(1.99996973493732e+001dB,1.79999466953217e+002°)
1.40928879842186e-003	(1.99996973493715e+001dB,1.79999465724417e+002°)
1.41253754462274e-003	(1.99996973493697e+001dB,1.79999464492785e+002°)
1.41579377995707e-003	(1.99996973493680e+001dB,1.79999463258313e+002°)
1.41905752168908e-003	(1.99996973493662e+001dB,1.79999462020996e+002°)
1.42232878712281e-003	(1.99996973493645e+001dB,1.79999460780826e+002°)
1.42560759360218e-003	(1.99996973493627e+001dB,1.79999459537798e+002°)
1.42889395851109e-003	(1.99996973493609e+001dB,1.79999458291904e+002°)
1.43218789927353e-003	(1.99996973493591e+001dB,1.79999457043137e+002°)
