Freq.	V(out)/V(Vin)
1.06414301822431e-003	(1.09775814135232e+002dB,1.67467567602558e+002°)
1.06659612123026e-003	(1.09774870353667e+002dB,1.67439593102378e+002°)
1.06905487922266e-003	(1.09773922422279e+002dB,1.67411560220298e+002°)
1.07151930523760e-003	(1.09772970323731e+002dB,1.67383468861375e+002°)
1.07398941234124e-003	(1.09772014040625e+002dB,1.67355318930695e+002°)
1.07646521362983e-003	(1.09771053555496e+002dB,1.67327110333367e+002°)
1.07894672222983e-003	(1.09770088850815e+002dB,1.67298842974534e+002°)
1.08143395129794e-003	(1.09769119908989e+002dB,1.67270516759368e+002°)
1.08392691402120e-003	(1.09768146712359e+002dB,1.67242131593074e+002°)
1.08642562361706e-003	(1.09767169243201e+002dB,1.67213687380890e+002°)
1.08893009333343e-003	(1.09766187483725e+002dB,1.67185184028091e+002°)
1.09144033644875e-003	(1.09765201416077e+002dB,1.67156621439988e+002°)
1.09395636627209e-003	(1.09764211022335e+002dB,1.67127999521930e+002°)
1.09647819614318e-003	(1.09763216284514e+002dB,1.67099318179308e+002°)
1.09900583943252e-003	(1.09762217184561e+002dB,1.67070577317553e+002°)
1.10153930954141e-003	(1.09761213704356e+002dB,1.67041776842139e+002°)
1.10407861990207e-003	(1.09760205825715e+002dB,1.67012916658586e+002°)
1.10662378397766e-003	(1.09759193530385e+002dB,1.66983996672459e+002°)
1.10917481526240e-003	(1.09758176800049e+002dB,1.66955016789371e+002°)
1.11173172728159e-003	(1.09757155616321e+002dB,1.66925976914985e+002°)
1.11429453359173e-003	(1.09756129960748e+002dB,1.66896876955015e+002°)
1.11686324778056e-003	(1.09755099814811e+002dB,1.66867716815226e+002°)
1.11943788346715e-003	(1.09754065159922e+002dB,1.66838496401441e+002°)
1.12201845430196e-003	(1.09753025977428e+002dB,1.66809215619535e+002°)
1.12460497396692e-003	(1.09751982248606e+002dB,1.66779874375443e+002°)
1.12719745617551e-003	(1.09750933954666e+002dB,1.66750472575158e+002°)
1.12979591467279e-003	(1.09749881076749e+002dB,1.66721010124733e+002°)
1.13240036323555e-003	(1.09748823595930e+002dB,1.66691486930287e+002°)
1.13501081567231e-003	(1.09747761493213e+002dB,1.66661902897999e+002°)
1.13762728582343e-003	(1.09746694749536e+002dB,1.66632257934116e+002°)
1.14024978756117e-003	(1.09745623345767e+002dB,1.66602551944954e+002°)
1.14287833478977e-003	(1.09744547262705e+002dB,1.66572784836895e+002°)
1.14551294144553e-003	(1.09743466481080e+002dB,1.66542956516396e+002°)
1.14815362149688e-003	(1.09742380981554e+002dB,1.66513066889983e+002°)
1.15080038894443e-003	(1.09741290744718e+002dB,1.66483115864258e+002°)
1.15345325782109e-003	(1.09740195751095e+002dB,1.66453103345901e+002°)
1.15611224219209e-003	(1.09739095981138e+002dB,1.66423029241668e+002°)
1.15877735615512e-003	(1.09737991415229e+002dB,1.66392893458396e+002°)
1.16144861384034e-003	(1.09736882033683e+002dB,1.66362695903002e+002°)
1.16412602941049e-003	(1.09735767816741e+002dB,1.66332436482488e+002°)
1.16680961706096e-003	(1.09734648744577e+002dB,1.66302115103942e+002°)
1.16949939101987e-003	(1.09733524797294e+002dB,1.66271731674538e+002°)
1.17219536554813e-003	(1.09732395954921e+002dB,1.66241286101537e+002°)
1.17489755493952e-003	(1.09731262197422e+002dB,1.66210778292295e+002°)
1.17760597352080e-003	(1.09730123504687e+002dB,1.66180208154258e+002°)
1.18032063565172e-003	(1.09728979856533e+002dB,1.66149575594966e+002°)
1.18304155572516e-003	(1.09727831232710e+002dB,1.66118880522056e+002°)
1.18576874816716e-003	(1.09726677612895e+002dB,1.66088122843266e+002°)
1.18850222743701e-003	(1.09725518976692e+002dB,1.66057302466429e+002°)
1.19124200802737e-003	(1.09724355303635e+002dB,1.66026419299485e+002°)
1.19398810446427e-003	(1.09723186573186e+002dB,1.65995473250475e+002°)
1.19674053130724e-003	(1.09722012764735e+002dB,1.65964464227547e+002°)
1.19949930314937e-003	(1.09720833857601e+002dB,1.65933392138957e+002°)
1.20226443461741e-003	(1.09719649831028e+002dB,1.65902256893070e+002°)
1.20503594037179e-003	(1.09718460664190e+002dB,1.65871058398365e+002°)
1.20781383510677e-003	(1.09717266336187e+002dB,1.65839796563432e+002°)
