Freq.	V(Vo)/V(Vi)
1.06414301822431e+002	(-2.30478526230468e+001dB,-9.00491005659129e+001°)
1.06659612123026e+002	(-2.30278526139708e+001dB,-9.00492137544850e+001°)
1.06905487922266e+002	(-2.30078526048529e+001dB,-9.00493272039843e+001°)
1.07151930523760e+002	(-2.29878525956930e+001dB,-9.00494409150122e+001°)
1.07398941234124e+002	(-2.29678525864908e+001dB,-9.00495548881717e+001°)
1.07646521362983e+002	(-2.29478525772460e+001dB,-9.00496691240669e+001°)
1.07894672222983e+002	(-2.29278525679587e+001dB,-9.00497836233037e+001°)
1.08143395129794e+002	(-2.29078525586284e+001dB,-9.00498983864890e+001°)
1.08392691402120e+002	(-2.28878525492551e+001dB,-9.00500134142314e+001°)
1.08642562361706e+002	(-2.28678525398385e+001dB,-9.00501287071406e+001°)
1.08893009333343e+002	(-2.28478525303785e+001dB,-9.00502442658280e+001°)
1.09144033644875e+002	(-2.28278525208747e+001dB,-9.00503600909063e+001°)
1.09395636627209e+002	(-2.28078525113272e+001dB,-9.00504761829895e+001°)
1.09647819614318e+002	(-2.27878525017355e+001dB,-9.00505925426933e+001°)
1.09900583943252e+002	(-2.27678524920996e+001dB,-9.00507091706344e+001°)
1.10153930954141e+002	(-2.27478524824192e+001dB,-9.00508260674313e+001°)
1.10407861990207e+002	(-2.27278524726941e+001dB,-9.00509432337037e+001°)
1.10662378397766e+002	(-2.27078524629241e+001dB,-9.00510606700729e+001°)
1.10917481526240e+002	(-2.26878524531091e+001dB,-9.00511783771614e+001°)
1.11173172728159e+002	(-2.26678524432487e+001dB,-9.00512963555935e+001°)
1.11429453359173e+002	(-2.26478524333428e+001dB,-9.00514146059945e+001°)
1.11686324778056e+002	(-2.26278524233912e+001dB,-9.00515331289915e+001°)
1.11943788346715e+002	(-2.26078524133937e+001dB,-9.00516519252128e+001°)
1.12201845430196e+002	(-2.25878524033500e+001dB,-9.00517709952883e+001°)
1.12460497396692e+002	(-2.25678523932599e+001dB,-9.00518903398493e+001°)
1.12719745617551e+002	(-2.25478523831233e+001dB,-9.00520099595286e+001°)
1.12979591467279e+002	(-2.25278523729399e+001dB,-9.00521298549603e+001°)
1.13240036323555e+002	(-2.25078523627095e+001dB,-9.00522500267802e+001°)
1.13501081567231e+002	(-2.24878523524318e+001dB,-9.00523704756254e+001°)
1.13762728582343e+002	(-2.24678523421068e+001dB,-9.00524912021346e+001°)
1.14024978756117e+002	(-2.24478523317340e+001dB,-9.00526122069477e+001°)
1.14287833478977e+002	(-2.24278523213134e+001dB,-9.00527334907064e+001°)
1.14551294144553e+002	(-2.24078523108447e+001dB,-9.00528550540537e+001°)
1.14815362149688e+002	(-2.23878523003277e+001dB,-9.00529768976341e+001°)
1.15080038894443e+002	(-2.23678522897621e+001dB,-9.00530990220936e+001°)
1.15345325782109e+002	(-2.23478522791478e+001dB,-9.00532214280798e+001°)
1.15611224219209e+002	(-2.23278522684844e+001dB,-9.00533441162416e+001°)
1.15877735615512e+002	(-2.23078522577718e+001dB,-9.00534670872295e+001°)
1.16144861384034e+002	(-2.22878522470098e+001dB,-9.00535903416956e+001°)
1.16412602941049e+002	(-2.22678522361982e+001dB,-9.00537138802932e+001°)
1.16680961706096e+002	(-2.22478522253366e+001dB,-9.00538377036774e+001°)
1.16949939101987e+002	(-2.22278522144249e+001dB,-9.00539618125046e+001°)
1.17219536554813e+002	(-2.22078522034628e+001dB,-9.00540862074330e+001°)
1.17489755493952e+002	(-2.21878521924501e+001dB,-9.00542108891220e+001°)
1.17760597352080e+002	(-2.21678521813866e+001dB,-9.00543358582327e+001°)
1.18032063565172e+002	(-2.21478521702720e+001dB,-9.00544611154277e+001°)
1.18304155572516e+002	(-2.21278521591061e+001dB,-9.00545866613711e+001°)
1.18576874816716e+002	(-2.21078521478887e+001dB,-9.00547124967285e+001°)
1.18850222743701e+002	(-2.20878521366195e+001dB,-9.00548386221672e+001°)
1.19124200802737e+002	(-2.20678521252983e+001dB,-9.00549650383557e+001°)
1.19398810446427e+002	(-2.20478521139248e+001dB,-9.00550917459644e+001°)
1.19674053130724e+002	(-2.20278521024988e+001dB,-9.00552187456650e+001°)
1.19949930314937e+002	(-2.20078520910201e+001dB,-9.00553460381309e+001°)
1.20226443461741e+002	(-2.19878520794884e+001dB,-9.00554736240371e+001°)
1.20503594037179e+002	(-2.19678520679035e+001dB,-9.00556015040600e+001°)
1.20781383510677e+002	(-2.19478520562651e+001dB,-9.00557296788775e+001°)
1.21059813355048e+002	(-2.19278520445729e+001dB,-9.00558581491692e+001°)
