Freq.	V(vout)
6.60693448007601e+004	(3.01688952466364e+001dB,-4.12916903644143e+001°)
6.91830970918941e+004	(2.99920116972469e+001dB,-4.26145679394912e+001°)
7.24435960074995e+004	(2.98059995186088e+001dB,-4.39436505763366e+001°)
7.58577575029189e+004	(2.96107996593338e+001dB,-4.52762060881715e+001°)
7.94328234724287e+004	(2.94063916721985e+001dB,-4.66094735305323e+001°)
8.31763771102677e+004	(2.91927940565525e+001dB,-4.79406926684518e+001°)
8.70963589956087e+004	(2.89700639437941e+001dB,-4.92671334636378e+001°)
9.12010839355916e+004	(2.87382961370856e+001dB,-5.05861248289531e+001°)
9.54992586021443e+004	(2.84976215392121e+001dB,-5.18950819322910e+001°)
1.00000000000001e+005	(2.82482050231758e+001dB,-5.31915313997139e+001°)
1.04712854805091e+005	(2.79902428175990e+001dB,-5.44731338634626e+001°)
1.09647819614319e+005	(2.77239594923857e+001dB,-5.57377034172696e+001°)
1.14815362149689e+005	(2.74496046388220e+001dB,-5.69832236713151e+001°)
1.20226443461742e+005	(2.71674493422177e+001dB,-5.82078602337474e+001°)
1.25892541179418e+005	(2.68777825444810e+001dB,-5.94099695769628e+001°)
1.31825673855642e+005	(2.65809073891683e+001dB,-6.05881043678292e+001°)
1.38038426460290e+005	(2.62771376332742e+001dB,-6.17410154462666e+001°)
1.44543977074594e+005	(2.59667941991773e+001dB,-6.28676507223247e+001°)
1.51356124843622e+005	(2.56502019276387e+001dB,-6.39671513261838e+001°)
1.58489319246113e+005	(2.53276865794385e+001dB,-6.50388453880608e+001°)
1.65958690743757e+005	(2.49995721199225e+001dB,-6.60822398469643e+001°)
1.73780082874939e+005	(2.46661783080555e+001dB,-6.70970106907939e+001°)
1.81970085861000e+005	(2.43278186000607e+001dB,-6.80829920183324e+001°)
1.90546071796326e+005	(2.39847983676747e+001dB,-6.90401642894914e+001°)
1.99526231496890e+005	(2.36374134226794e+001dB,-6.99686420970643e+001°)
2.08929613085406e+005	(2.32859488327235e+001dB,-7.08686617543575e+001°)
2.18776162394957e+005	(2.29306780084789e+001dB,-7.17405689512055e+001°)
2.29086765276779e+005	(2.25718620387617e+001dB,-7.25848066883757e+001°)
2.39883291901951e+005	(2.22097492482082e+001dB,-7.34019036591119e+001°)
2.51188643150960e+005	(2.18445749512242e+001dB,-7.41924632079057e+001°)
2.63026799189540e+005	(2.14765613760144e+001dB,-7.49571529614954e+001°)
2.75422870333819e+005	(2.11059177333232e+001dB,-7.56966951960906e+001°)
2.88403150312663e+005	(2.07328404059085e+001dB,-7.64118579781648e+001°)
3.01995172040204e+005	(2.03575132365252e+001dB,-7.71034470938187e+001°)
3.16227766016841e+005	(1.99801078941991e+001dB,-7.77722987635065e+001°)
3.31131121482594e+005	(1.96007843006808e+001dB,-7.84192731245045e+001°)
3.46736850452535e+005	(1.92196911011007e+001dB,-7.90452484525023e+001°)
3.63078054770105e+005	(1.88369661649268e+001dB,-7.96511160856667e+001°)
3.80189396320565e+005	(1.84527371052970e+001dB,-8.02377760090419e+001°)
3.98107170553501e+005	(1.80671218066353e+001dB,-8.08061330537763e+001°)
4.16869383470339e+005	(1.76802289521309e+001dB,-8.13570936640161e+001°)
4.36515832240170e+005	(1.72921585441589e+001dB,-8.18915631840283e+001°)
4.57088189614879e+005	(1.69030024120511e+001dB,-8.24104436188953e+001°)
4.78630092322643e+005	(1.65128447027801e+001dB,-8.29146318236946e+001°)
5.01187233627277e+005	(1.61217623511174e+001dB,-8.34050180782136e+001°)
5.24807460249778e+005	(1.57298255266743e+001dB,-8.38824850067647e+001°)
5.49540873857630e+005	(1.53370980559434e+001dB,-8.43479068054078e+001°)
5.75439937337162e+005	(1.49436378180475e+001dB,-8.48021487417337e+001°)
6.02559586074364e+005	(1.45494971133810e+001dB,-8.52460668952201e+001°)
6.30957344480199e+005	(1.41547230047106e+001dB,-8.56805081089714e+001°)
6.60693448007602e+005	(1.37593576306029e+001dB,-8.61063101263322e+001°)
6.91830970918943e+005	(1.33634384912713e+001dB,-8.65243018884012e+001°)
7.24435960074997e+005	(1.29669987071010e+001dB,-8.69353039708168e+001°)
7.58577575029191e+005	(1.25700672502247e+001dB,-8.73401291403485e+001°)
7.94328234724290e+005	(1.21726691495899e+001dB,-8.77395830137726e+001°)
8.31763771102679e+005	(1.17748256699907e+001dB,-8.81344648032571e+001°)
8.70963589956090e+005	(1.13765544655407e+001dB,-8.85255681340073e+001°)
9.12010839355919e+005	(1.09778697080398e+001dB,-8.89136819212481e+001°)
9.54992586021446e+005	(1.05787821906467e+001dB,-8.92995912947382e+001°)
1.00000000000000e+006	(1.01792994072086e+001dB,-8.96840785599250e+001°)
