Freq.	V(vout)
3.31131121482593e+005	(1.70490061869561e+001dB,-1.46022798456037e+002°)
3.46736850452534e+005	(1.63519835280361e+001dB,-1.48248987754350e+002°)
3.63078054770104e+005	(1.56396450986079e+001dB,-1.50447391152965e+002°)
3.80189396320564e+005	(1.49121468541156e+001dB,-1.52612907285158e+002°)
3.98107170553500e+005	(1.41697294298712e+001dB,-1.54740425718279e+002°)
4.16869383470338e+005	(1.34127191382931e+001dB,-1.56824898148382e+002°)
4.36515832240169e+005	(1.26415273684567e+001dB,-1.58861410776943e+002°)
4.57088189614878e+005	(1.18566483652459e+001dB,-1.60845256099579e+002°)
4.78630092322642e+005	(1.10586554164607e+001dB,-1.62772002333152e+002°)
5.01187233627276e+005	(1.02481955259081e+001dB,-1.64637558775709e+002°)
5.24807460249776e+005	(9.42598269626360e+000dB,-1.66438235527486e+002°)
5.49540873857628e+005	(8.59278998526662e+000dB,-1.68170796190813e+002°)
5.75439937337161e+005	(7.74944053108510e+000dB,-1.69832502399660e+002°)
6.02559586074362e+005	(6.89679776658831e+000dB,-1.71421149291702e+002°)
6.30957344480198e+005	(6.03575505753996e+000dB,-1.72935091313464e+002°)
6.60693448007601e+005	(5.16722500663412e+000dB,-1.74373258029702e+002°)
6.91830970918941e+005	(4.29212866450309e+000dB,-1.75735159881107e+002°)
7.24435960074995e+005	(3.41138488121788e+000dB,-1.77020884091809e+002°)
7.58577575029189e+005	(2.52590001835634e+000dB,-1.78231081163962e+002°)
7.94328234724287e+005	(1.63655822338179e+000dB,-1.79366942607457e+002°)
8.31763771102677e+005	(7.44212445710756e-001dB,-1.79569829264154e+002°)
8.70963589956087e+005	(-1.50323651803655e-001dB,-1.78577058486541e+002°)
9.12010839355916e+005	(-1.04628276053215e+000dB,-1.77652138438059e+002°)
9.54992586021443e+005	(-1.94294987773226e+000dB,-1.76792079474348e+002°)
1.00000000000000e+006	(-2.83966707873534e+000dB,-1.75993559946867e+002°)
