v1	V(n002)	I(D1)
-3.380000000000035e+000	-3.379997e+000	-2.523381e-009
-3.370000000000035e+000	-3.369998e+000	-2.523370e-009
-3.360000000000035e+000	-3.359998e+000	-2.523360e-009
-3.350000000000035e+000	-3.349998e+000	-2.523350e-009
-3.340000000000035e+000	-3.339998e+000	-2.523341e-009
-3.330000000000036e+000	-3.329998e+000	-2.523330e-009
-3.320000000000036e+000	-3.319998e+000	-2.523320e-009
-3.310000000000036e+000	-3.309998e+000	-2.523310e-009
-3.300000000000036e+000	-3.299998e+000	-2.523301e-009
-3.290000000000037e+000	-3.289998e+000	-2.523291e-009
-3.280000000000037e+000	-3.279998e+000	-2.523280e-009
-3.270000000000037e+000	-3.269997e+000	-2.523270e-009
-3.260000000000037e+000	-3.259997e+000	-2.523260e-009
-3.250000000000037e+000	-3.249997e+000	-2.523251e-009
-3.240000000000038e+000	-3.239997e+000	-2.523241e-009
-3.230000000000038e+000	-3.229997e+000	-2.523231e-009
-3.220000000000038e+000	-3.219997e+000	-2.523220e-009
-3.210000000000038e+000	-3.209997e+000	-2.523210e-009
-3.200000000000038e+000	-3.199997e+000	-2.523201e-009
-3.190000000000039e+000	-3.189997e+000	-2.523191e-009
-3.180000000000039e+000	-3.179997e+000	-2.523180e-009
-3.170000000000039e+000	-3.169997e+000	-2.523170e-009
-3.160000000000039e+000	-3.159997e+000	-2.523160e-009
-3.150000000000039e+000	-3.149997e+000	-2.523151e-009
-3.140000000000040e+000	-3.139997e+000	-2.523141e-009
-3.130000000000040e+000	-3.129997e+000	-2.523130e-009
-3.120000000000040e+000	-3.119998e+000	-2.523120e-009
-3.110000000000040e+000	-3.109998e+000	-2.523110e-009
-3.100000000000041e+000	-3.099998e+000	-2.523101e-009
-3.090000000000041e+000	-3.089998e+000	-2.523090e-009
-3.080000000000041e+000	-3.079998e+000	-2.523080e-009
-3.070000000000041e+000	-3.069998e+000	-2.523070e-009
-3.060000000000041e+000	-3.059998e+000	-2.523061e-009
-3.050000000000042e+000	-3.049998e+000	-2.523051e-009
-3.040000000000042e+000	-3.039998e+000	-2.523040e-009
-3.030000000000042e+000	-3.029998e+000	-2.523030e-009
-3.020000000000042e+000	-3.019997e+000	-2.523020e-009
-3.010000000000042e+000	-3.009997e+000	-2.523011e-009
-3.000000000000043e+000	-2.999997e+000	-2.523001e-009
-2.990000000000043e+000	-2.989997e+000	-2.522990e-009
-2.980000000000043e+000	-2.979997e+000	-2.522980e-009
-2.970000000000043e+000	-2.969997e+000	-2.522970e-009
-2.960000000000044e+000	-2.959997e+000	-2.522961e-009
-2.950000000000044e+000	-2.949997e+000	-2.522951e-009
-2.940000000000044e+000	-2.939997e+000	-2.522940e-009
