Freq.	V(n001)	V(n002)	I(C1)	I(R1)	I(V1)
1.35518941235081e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.23451558430035e-001dB,-2.30616522368693e+001°)	(-4.21198541912692e+001dB,6.69383477631307e+001°)	(-4.21198541912692e+001dB,-1.13061652236869e+002°)	(-4.21198541912692e+001dB,-1.13061652236869e+002°)
1.35831344658693e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.26526459975936e-001dB,-2.31092393587225e+001°)	(-4.21029290928151e+001dB,6.68907606412775e+001°)	(-4.21029290928151e+001dB,-1.13109239358723e+002°)	(-4.21029290928151e+001dB,-1.13109239358723e+002°)
1.36144468246572e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.29613363982765e-001dB,-2.31569023559177e+001°)	(-4.20860159968219e+001dB,6.68430976440823e+001°)	(-4.20860159968219e+001dB,-1.13156902355918e+002°)	(-4.20860159968219e+001dB,-1.13156902355918e+002°)
1.36458313658870e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.32712308722368e-001dB,-2.32046412172895e+001°)	(-4.20691149415615e+001dB,6.67953587827105e+001°)	(-4.20691149415615e+001dB,-1.13204641217289e+002°)	(-4.20691149415615e+001dB,-1.13204641217289e+002°)
1.36772882559562e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.35823332521658e-001dB,-2.32524559308127e+001°)	(-4.20522259653608e+001dB,6.67475440691873e+001°)	(-4.20522259653608e+001dB,-1.13252455930813e+002°)	(-4.20522259653608e+001dB,-1.13252455930813e+002°)
1.37088176616463e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.38946473762135e-001dB,-2.33003464835986e+001°)	(-4.20353491066013e+001dB,6.66996535164014e+001°)	(-4.20353491066013e+001dB,-1.13300346483599e+002°)	(-4.20353491066013e+001dB,-1.13300346483599e+002°)
1.37404197501229e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.42081770879432e-001dB,-2.33483128618908e+001°)	(-4.20184844037186e+001dB,6.66516871381092e+001°)	(-4.20184844037186e+001dB,-1.13348312861891e+002°)	(-4.20184844037186e+001dB,-1.13348312861891e+002°)
1.37720946889372e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.45229262362817e-001dB,-2.33963550510617e+001°)	(-4.20016318952020e+001dB,6.66036449489383e+001°)	(-4.20016318952020e+001dB,-1.13396355051062e+002°)	(-4.20016318952020e+001dB,-1.13396355051062e+002°)
1.38038426460266e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.48388986754749e-001dB,-2.34444730356083e+001°)	(-4.19847916195939e+001dB,6.65555269643917e+001°)	(-4.19847916195939e+001dB,-1.13444473035608e+002°)	(-4.19847916195939e+001dB,-1.13444473035608e+002°)
1.38356637897155e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.51560982650360e-001dB,-2.34926667991484e+001°)	(-4.19679636154895e+001dB,6.65073332008516e+001°)	(-4.19679636154895e+001dB,-1.13492666799148e+002°)	(-4.19679636154895e+001dB,-1.13492666799148e+002°)
1.38675582887166e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.54745288696995e-001dB,-2.35409363244172e+001°)	(-4.19511479215361e+001dB,6.64590636755828e+001°)	(-4.19511479215361e+001dB,-1.13540936324417e+002°)	(-4.19511479215361e+001dB,-1.13540936324417e+002°)
1.38995263121312e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.57941943593696e-001dB,-2.35892815932627e+001°)	(-4.19343445764328e+001dB,6.64107184067373e+001°)	(-4.19343445764328e+001dB,-1.13589281593263e+002°)	(-4.19343445764328e+001dB,-1.13589281593263e+002°)
