x-axis,1,2,MATH
second,Volt,Volt,Volt
-1.775000E-03,-2.023437500E+00,-2.054062843E+00,-41.637421E-03
-1.770000E-03,-2.007812500E+00,-2.044297218E+00,-37.731171E-03
-1.765000E-03,-1.992187500E+00,-2.024765968E+00,-37.731171E-03
-1.760000E-03,-1.976562500E+00,-2.005234718E+00,-37.731171E-03
-1.755000E-03,-1.960937500E+00,-1.995469093E+00,-37.731171E-03
-1.750000E-03,-1.941406250E+00,-1.975937843E+00,-41.637421E-03
-1.745000E-03,-1.925781250E+00,-1.966172218E+00,-41.637421E-03
-1.740000E-03,-1.906250000E+00,-1.946640968E+00,-41.637421E-03
-1.735000E-03,-1.890625000E+00,-1.927109718E+00,-37.731171E-03
-1.730000E-03,-1.875000000E+00,-1.907578468E+00,-37.731171E-03
-1.725000E-03,-1.859375000E+00,-1.897812843E+00,-41.637421E-03
-1.720000E-03,-1.843750000E+00,-1.878281593E+00,-41.637421E-03
-1.715000E-03,-1.828125000E+00,-1.868515968E+00,-45.543671E-03
-1.710000E-03,-1.812500000E+00,-1.848984718E+00,-45.543671E-03
-1.705000E-03,-1.796875000E+00,-1.839219093E+00,-45.543671E-03
-1.700000E-03,-1.781250000E+00,-1.819687843E+00,-45.543671E-03
-1.695000E-03,-1.761718750E+00,-1.809922218E+00,-49.449921E-03
-1.690000E-03,-1.746093750E+00,-1.790390968E+00,-49.449921E-03
-1.685000E-03,-1.730468750E+00,-1.770859718E+00,-49.449921E-03
-1.680000E-03,-1.710937500E+00,-1.761094093E+00,-49.449921E-03
-1.675000E-03,-1.695312500E+00,-1.731797218E+00,-45.543671E-03
-1.670000E-03,-1.675781250E+00,-1.722031593E+00,-49.449921E-03
-1.665000E-03,-1.656250000E+00,-1.702500343E+00,-49.449921E-03
-1.660000E-03,-1.640625000E+00,-1.682969093E+00,-49.449921E-03
-1.655000E-03,-1.625000000E+00,-1.663437843E+00,-49.449921E-03
-1.650000E-03,-1.609375000E+00,-1.653672218E+00,-45.543671E-03
-1.645000E-03,-1.589843750E+00,-1.624375343E+00,-41.637421E-03
-1.640000E-03,-1.574218750E+00,-1.604844093E+00,-41.637421E-03
-1.635000E-03,-1.558593750E+00,-1.585312843E+00,-33.824921E-03
-1.630000E-03,-1.542968750E+00,-1.575547218E+00,-33.824921E-03
-1.625000E-03,-1.523437500E+00,-1.556015968E+00,-37.731171E-03
-1.620000E-03,-1.507812500E+00,-1.546250343E+00,-41.637421E-03
-1.615000E-03,-1.488281250E+00,-1.526719093E+00,-45.543671E-03
-1.610000E-03,-1.472656250E+00,-1.516953468E+00,-45.543671E-03
-1.605000E-03,-1.457031250E+00,-1.497422218E+00,-45.543671E-03
-1.600000E-03,-1.441406250E+00,-1.477890968E+00,-41.637421E-03
-1.595000E-03,-1.425781250E+00,-1.458359718E+00,-37.731171E-03
-1.590000E-03,-1.406250000E+00,-1.438828468E+00,-37.731171E-03
-1.585000E-03,-1.390625000E+00,-1.419297218E+00,-37.731171E-03
-1.580000E-03,-1.375000000E+00,-1.409531593E+00,-37.731171E-03
-1.575000E-03,-1.359375000E+00,-1.390000343E+00,-33.824921E-03
-1.570000E-03,-1.339843750E+00,-1.370469093E+00,-29.918671E-03
-1.565000E-03,-1.324218750E+00,-1.350937843E+00,-33.824921E-03
-1.560000E-03,-1.308593750E+00,-1.341172218E+00,-33.824921E-03
-1.555000E-03,-1.292968750E+00,-1.321640968E+00,-33.824921E-03
-1.550000E-03,-1.273437500E+00,-1.302109718E+00,-33.824921E-03
-1.545000E-03,-1.257812500E+00,-1.282578468E+00,-33.824921E-03
-1.540000E-03,-1.242187500E+00,-1.272812843E+00,-33.824921E-03
-1.535000E-03,-1.222656250E+00,-1.253281593E+00,-37.731171E-03
-1.530000E-03,-1.207031250E+00,-1.243515968E+00,-37.731171E-03
-1.525000E-03,-1.191406250E+00,-1.223984718E+00,-41.637421E-03
-1.520000E-03,-1.175781250E+00,-1.214219093E+00,-37.731171E-03
-1.515000E-03,-1.160156250E+00,-1.194687843E+00,-37.731171E-03
-1.510000E-03,-1.144531250E+00,-1.175156593E+00,-41.637421E-03
-1.505000E-03,-1.125000000E+00,-1.165390968E+00,-41.637421E-03
-1.500000E-03,-1.109375000E+00,-1.145859718E+00,-37.731171E-03
-1.495000E-03,-1.093750000E+00,-1.126328468E+00,-33.824921E-03
-1.490000E-03,-1.074218750E+00,-1.106797218E+00,-37.731171E-03
-1.485000E-03,-1.058593750E+00,-1.087265968E+00,-37.731171E-03
-1.480000E-03,-1.042968750E+00,-1.077500343E+00,-37.731171E-03
-1.475000E-03,-1.023437500E+00,-1.057969093E+00,-41.637421E-03
-1.470000E-03,-1.007812500E+00,-1.038437843E+00,-41.637421E-03
-1.465000E-03,-992.187500E-03,-1.028672218E+00,-41.637421E-03
-1.460000E-03,-972.656250E-03,-1.009140968E+00,-41.637421E-03
-1.455000E-03,-957.031250E-03,-989.609718E-03,-41.637421E-03
-1.450000E-03,-937.500000E-03,-979.844093E-03,-45.543671E-03
-1.445000E-03,-917.968750E-03,-960.312843E-03,-45.543671E-03
-1.440000E-03,-902.343750E-03,-940.781593E-03,-49.449921E-03
-1.435000E-03,-886.718750E-03,-931.015968E-03,-49.449921E-03
-1.430000E-03,-871.093750E-03,-911.484718E-03,-45.543671E-03
-1.425000E-03,-855.468750E-03,-901.719093E-03,-49.449921E-03
-1.420000E-03,-835.937500E-03,-882.187843E-03,-53.356171E-03
-1.415000E-03,-820.312500E-03,-862.656593E-03,-49.449921E-03
-1.410000E-03,-800.781250E-03,-843.125343E-03,-49.449921E-03
-1.405000E-03,-785.156250E-03,-833.359718E-03,-49.449921E-03
-1.400000E-03,-765.625000E-03,-813.828468E-03,-53.356171E-03
-1.395000E-03,-750.000000E-03,-794.297218E-03,-49.449921E-03
